id,code,name,code_old,name_old
activity_11101,0111.9,"Cultivo de otros cereales, legumbres y semillas oleaginosas n.c.p",11101,CULTIVO Y VENTA DE CEREALES
activity_11102,0126.1,Cultivo de palma africana (aceitera),11102,CULTIVO DE PALMA AFRICANA Y OTROS FRUTOS OLEAGINOSOS
activity_11103,0130.0,Propagación de plantas,11103,CULTIVO Y COMERCIALIZACIÓN DE CESPED
activity_11218,0113.9,"Cultivo de otras hortalizas, raíces o tubérculos n.c.p",11218,PRODUCCIÓN DE MINIVEGETALES
activity_11231,0111.9,"Cultivo de otros cereales, legumbres y semillas oleaginosas n.c.p",11231,CULTIVO HORTALIZAS LEGUMBRES ESPECIALIDADES HORTÍCOLAS PRODUCTOS VIVERO GRAVADOS IVA
activity_11301,0128.0,"Cultivo de especies de plantas aromáticas, medicinales y farmacéuticas",11301,CULTIVO DE ESPECIAS DE TODO TIPO
activity_11302,0122.9,Cultivo de otras frutas tropicales y subtropicales,11302,CULTIVO DE FRUTAS
activity_11322,0125.0,Cultivo de otros frutos y nueces de árboles y arbustos ,11322,CULTIVO DE SEMILLAS COMESTIBLES Y GERMINACION DE SEMILLAS OLEAGINOSAS
activity_11329,0127.9,"Cultivo de otras plantas con las que se preparan bebidas, excepto el cultivo de café n.c.p",11329,CULTIVO DE PLANTAS PARA PREPARAR BEBIDAS Y MEDICINAS
activity_11349,0127.9,"Cultivo de otras plantas con las que se preparan bebidas, excepto el cultivo de café n.c.p",11349,CULTIVO DE CACAO
activity_11401,0127.1,Cultivo de café,11401,CULTIVO DE CAFE
activity_11701,0114.0,Cultivo de caña de azúcar,11701,CULTIVO DE  CAñA DE AZÚCAR
activity_11802,0111.9,"Cultivo de otros cereales, legumbres y semillas oleaginosas n.c.p",11802,"CULTIVO Y VENTA DE CEREALES, LEGUMBRES Y GRANOS BÁSICOS INCLUIDOS  EN CANASTA BÁSICA"
activity_11901,0119.1,Cultivo de Flores ,11901,CULTIVO DE FLORES DE TODO TIPO
activity_11903,0130.0,Propagación de plantas,11903,VIVEROS
activity_11907,4781.0,"Venta al por menor en puestos de venta y mercados de: alimentos, bebidas y de productos del tabaco",11907,PEQUEÑOS PRODUCTORES AGRICOLAS (FERIAS DEL AGRICULTOR)
activity_12101,0142.0,Cría de caballos y otros equinos,12101,CRíA DE CABALLOS Y OTROS EQUINOS
activity_12102,0141.9,Cría de Búfalos y otra producción  de ganado bovino (vacuno),12102,"PRODUCCION DE SEMEN BOVINO, VENTA DE SEMEN CONGELADO Y DILUYENTE PARA SEMEN"
activity_12103,0144.0,Cría de ovejas y cabras,12103,"CRÍA DE ANIMALES DOMÉSTICOS,COMO: GANADO VACUNO, OVEJAS Y CABRAS"
activity_12201,0145.0,Cría de cerdos ,12201,CRIA DE CERDOS
activity_12202,0146.9,"Cría de otras aves de corral, excepto pollos",12202,CRIA DE ANIMALES DOMESTICADOS (AVES DE CORRAL)
activity_12203,0149.0,Cría de otros animales,12203,CRíA DE MARIPOSAS
activity_12204,0149.0,Cría de otros animales,12204,CRIA Y VENTA DE OTROS ANIMALES SEMIDOMESTICADOS O SALVAJES
activity_12401,0146.9,"Cría de otras aves de corral, excepto pollos",12401,"PRODUCCION Y VENTA DE HUEVOS DE CUALQUIER TIPO, EXCEPTO  LOS DE GALLINA"
activity_12402,0149.0,Cría de otros animales,12402,CRÍA DE ANIMALES Y OBTENCIÓN DE PRODUCTOS DE ANIMALES VIVOS
activity_12403,0146.2,Actividades de granja para la producción de huevos de gallina,12403,PRODUCCION DE HUEVOS DE GALLINA INCLUIDOS EN LA CANASTA BASICA
activity_13001,0150.0,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),13001,CULTIVO DE PRODUCTOS AGRICOLAS EN COMBINACION CON LA CRIA DE ANIMALES
activity_14001,8130.0,Actividades de  paisajismo y servicios de  mantenimiento conexos,14001,SERVICIO DE JARDINERIA Y/O DISEÑO PAISAJISTA
activity_14002,0163.9,Otras actividades posteriores a la cosecha,14002,RECOLECCION DE COSECHAS Y ACTIVIDADES CONEXAS
activity_14003,0161.2,Servicios de fumigación y riego agrícola,14003,FUMIGACION DE CULTIVOS
activity_14004,0161.9,Otros servicios de apoyo a la agricultura,14004,SERVICIO DE PLANTACION DE ARBOLES Y SIMILARES
activity_14005,0161.2,Servicios de fumigación y riego agrícola,14005,MANEJO E INSTALACION DE SISTEMAS DE RIEGO
activity_15001,0170.0,"Caza ordinaria, mediante trampas y actividades de servicio conexas",15001,"CAZA ORDINARIA MEDIANTE TRAMPAS, Y REPOBLACION DE ANIMALES DE CAZA"
activity_20001,0210.0,Silvicultura y otras actividades  forestales,20001,VENTA DE ARBOLES EN PIE (ARBOLES DE REFORESTACION)
activity_20002,0220.0,Extracción de madera,20002,EXTRACCION Y/O VENTA DE MADERA
activity_20005,0210.0,Silvicultura y otras actividades  forestales,20005,"ACTIVIDADES DE CONSERVACIÓN DE BOSQUES. (SERVICIOS AMBIENTALES, VENTA DE OXÍGENO)"
activity_50001,0311.0,Pesca marítima,50001,PESCADORES ARTESANALES EN PEQ. ESCALA
activity_50002,0311.0,Pesca marítima,50002,PESCADORES ARTESANALES MEDIOS
activity_50003,0321.0,Acuicultura marina,50003,"CRIADERO DE PECES, CRUSTACEOS O MOLUSCOS. COMERCIALIZACION DE LARVAS DE ESPECIES"
activity_50005,0311.0,Pesca marítima,50005,PESCADORES EN GRAN ESCALA
activity_101001,0510.0,Extracción de carbón de piedra ,101001,EXTRACCION Y AGLOMERACION DE CARBON DE PIEDRA
activity_111001,0620.0,Extracción de gas natural,111001,EXTRACCION DE PETROLEO CRUDO Y GAS NATURAL
activity_120001,0721.0,Extracción de minerales metalíferos no ferrosos,120001,EXTRACCIÓN DE MINERALES DE URANIO Y TORIO
activity_141001,0810.0,"Extracción de piedra, arena y arcilla",141001,"EXTRACCION DE PIEDRA, ARENA Y ARCILLA"
